"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6"
"1","3501000001","RSU Pacitan","RSU","C","Jl. Jen A Yani No.51 Pacitan"
"2","3502000001","RSU Ponorogo","RSU","C","Jl. Ciptomangunkusumo Ponorogo"
"3","3502000002","RS Aisyiah","RS","D","Jl. Dr Sutomo 18 Ponorogo"
"4","3502000003","RSIA Darmayu","RSIA","E","Jl. Dr. Soetomo 44 Ponorogo"
"5","3503000001","RSU Dr Soetomo Trenggalek","RSU","C","Jl. Dr Sutomo No.2 Trenggalek"
"6","3504000001","RSU Tulungagung","RSU","C","Jl. Dr WS Husodo Tulungagung"
"7","3504000002","RS Islam Orpeha","RS","","Jl. KHR Abdul Fatah Tulungagung"
"8","3505000001","RSU Wlingi","RSU","D","Jl. Dr Sucipto No.5 Wlingi"
"9","3506000001","RSU Pare","RSU","C","Jl. Pahlawan (DS Palem) Pare"
"10","3506000002","RS PTP XXI Toeloengredjo","RS","","Jl. A Yani 25 Pare Kediri"
"11","3507000001","RSU Bala Keselamatan","RSU","D","Jl. A Yani 91 Turen Kab Malang"
"12","3507000002","RS Jiwa Lawang","RSJ","A","Jl. Jend A Yani Lawang"
"13","3507000003","RSU Karsa Husada Batu","RSU","B","Jl. A Yani No.10-13 Batu Malang"
"14","3507000004","RSU Kepanjen","RSU","C","Jl. Panggungrejo 1 Kepanjen"
"15","3508000001","RSU Nararyya Kirana","RSU","C","Jl. A Yani 281 Lumajang"
"16","3508000002","RS PTP XXIV Jatiroto","RS","E","Jl. Dr Sudirman Jatiroto Lumajang"
"17","3508000003","RS Wijaya Kusuma","RS","E","Jl. A Yani No.149 Lumajang"
"18","3509000001","RSU Dr Soebandi","RSU","B","Jl. Dr Soebandi No.1 Jember"
"19","3509000002","RS PTPN X Jember","RS","D","Jl. Bedadung No.2 Jember"
"20","3509000003","RS Rem 083 Jember","RS","3","Jl. PB Sudirman No.49 Jember"
"21","3509000004","RS TP Jember","RS","E","Jl. Nusa Indah No.28 Jember"
"22","3509000005","RS Utama Husada","RS","D","Jl. Nanggar 134 Ambulu Jember"
"23","3510000001","RSU Blambangan","RSU","C","Jl. Istiqlah No.49 Banyuwangi"
"24","3510000002","RS PTP XXVI Bakti Husada","RS","C","Krikilan Glenmore Banyuwangi"
"25","3510000003","RSU Genteng","RSU","C","Jl. Raya Timur 5 Genteng"
"26","3510000004","RS Islam Fatimah","RS","C","Jl. Jember 25 Banyuwangi"
"27","3511000001","RSU Bondowoso","RSU","C","Jl. Piere Tendean Bondowoso"
"28","3512000001","RSU Situbondo","RSU","C","Jl. Anggrek No.68 Situbondo"
"29","3512000002","RS PTPN XI Situbondo","RS","C","Jl. WR Supratman 2A Situbondo"
"30","3513000001","RSU Waluyo Jati Kraksaan","RSU","C","Jl. Dr Sutomo No.1 Kraksaan"
"31","3514000001","RSAB Masyitoh","RSAB","","Jl. A Yani No.6 Bangil Jatim"
"32","3514000002","RSU Bangil","RSU","C","Jl. Dr Sutomo 101 Bangil"
"33","3514000003","RSIA Panca Dharma","RSIA","C","Jl. Raya 14A Pandaan Sukorejo"
"34","3515000001","RSU Sidoarjo","RSU","B","Jl. Mojopahit No.667 Sidoarjo"
"35","3515000002","RSU Siti Khodijah","RSU","C","Jl. Pahlawan Sepanjang Sidoarjo"
"36","3515000003","RS Pusdik Polri Porong","RS","4","Pusdik Sabhara Porong"
"37","3515000004","RS Delta Surya","RS","E","Jl. Pahlawan Sidoarjo"
"38","3515000005","RS Siti Hajar","RS","E","Jl. Raden Patah No.70 Sidoarjo"
"39","3516000001","RS Kusta Sumberglagah","RS","D","Sumberglagah Pacet Mojokerto"
"40","3517000001","RSU Jombang","RSU","B","Jl. KHW Hasyim 57 Jombang"
"41","3517000002","RS Kristen Mojowarno","RS","E","Jl. Merdeka Mojowarno Jombang"
"42","3518000001","RSU Nganjuk","RSU","B","Jl. Dr Sutomo 62 Nganjuk"
"43","3518000002","RSU Kertosono, Nganjuk","RSU","B","Jl. Supriadi No.29 Kertosono, Nganjuk"
"44","3518000003","RS Satiti Kertosono, Nganjuk","RS","C","Jl. Lonsep No.03 Kertosono, Nganjuk"
"45","3518000004","RS Bhayangkara Dr. Moestajab Nganjuk","RSB","3","Jl. Abdurahman Saleh VI No.56, Nganjuk"
"46","3518000005","RS Islam Aisyiyah Nganjuk","RSI","C","Jl. Imam Bonjol No. 20, Nganjuk"
"47","3519000001","RS TP Dungus","RS","","Dungus Kec Wungu Kab Madiun"
"48","3519000002","RSU Panti Waluyo","RSU","D","Jl. A Yani Km 2 Curuban Madiun"
"49","3520000001","RSU Magetan","RSU","C","Jl. Pahlawan No.2 Magetan"
"50","3521000001","RSU Dr Soeroto Ngawi","RSU","C","Jl. Dr Wahidin 27 Ngawi"
"51","3522000001","RSU Dr Djatikoesoemo","RSU","C","Jl. Dr Wahidin 36 Bojonegoro"
"52","3522000002","RSAB Aisyiyah B'negoro","RSAB","","Jl. Masjid No.11 Bojonegoro"
"53","3522200003","RS Muhamadiyah Sumberejo","RS","","Jl. Raya Sumberejo Bojonegoro"
"54","3523000001","RSUD dr. R. Koesma Tuban","RSU","","Jl. dr. Wahidin Sudiro Husodo No. 800, Kabupaten Tuban"
"55","3523000002","RS Kusta Nganget","RS","","Pos Jojogan Bojonegoro Tuban"
"56","3524000001","RSU Dr Soegiri Lamongan","RSU","","Jl. Kusuma Bangsa 7 Lamongan"
"57","3524000002","RS Islam Nashrul Ummah","RS","","Jl. Merpati No.62 Lamongan"
"58","3524000003","RS Muhammadiyah Lamongan","RS","","Jl. Jks Agung Suprapto Lamongan"
"59","3525000001","RSU Gresik","RSU","C","Jl. Dr W Sudiro Husodo Gresik"
"60","3525000002","RS PT Semen Gresik","RS","","Jl. RA Kartini No.280 Gresik"
"61","3525000003","RSIA Nyai Ageng Pinatih","RSIA","","Jl. KH Abd Karim 76-78 Gresik"
"62","3525000004","RS Jiwa Aditama","RS","","Jl. Raya Bunder Gresik"
"63","3525000005","RS Petrokimia Gresik","RS","","Jl. Jend Ahmad Yani 69 Gresik"
