"id","kode_rs","nama_rumah_sakit","jenis_rs","kelas_rs","pemilik","total_ranjang"
,"3321035","RS Umum Daerah Sultan Fatah Karangawen Demak","RSU","C","Pemkab","0"
,"3371144","RSUD Budi Rahayu","RSU","D","Pemkot","35"
,"3372201","RSU Surakarta BKPM","RSU","D","Pemkot","52"
,"3320046","RS PKU Aisyiyah Jepara","RSU","D","Organisasi Islam","20"
,"3374373","RS Gigi dan Mulut Unimus","RSK GM","C","Swasta","4"
,"3372242","RS Onkologi Solo","RSK KANKER","C","Swasta","17"
,"3324040","RSU Charlie Hospital","RSU","D","Perorangan","45"
,"3329113","RS Harapan Sehat Bumiayu","RSU","D","Perusahaan","40"
,"3374372","RS Islam Gigi dan Mulut Sultan Agung","RSK GM","B","Swasta","5"
,"3372241","RS ""JIH"" Solo","RSU","C","Swasta","104"
,"3327048","RS Harapan Sehat Pemalang","RSU","D","Swasta","98"
,"3372240","RSU Umum Daerah Bung Karno Kota Surakarta","RSU","C","Pemkot","123"
,"3328082","RS Hawari Essa","RSU","D","Perorangan","36"
,"3329112","RS Harapan Sehat Jatibarang","RSU","D","Perusahaan","43"
,"3328081","RS Harapan Sehat Slawi","RSU","D","Swasta","98"
,"3301114","RS Umum Aghisna Medika Sidareja","RSU","D","Swasta","50"
,"3304035","RS Umum PKU Muhammadiyah Banjarnegara","RSU","D","Organisasi Islam","46"
,"3372239","RS Gigi dan Mulut Soelastri","RSK GM","C","Perorangan","3"
,"3308021","RS Umum Syubbanul Wathon","RSU","C","Perusahaan","39"
,"3310416","RSU PKU Muhammadiyah Delanggu","RSU","D","Organisasi Islam","172"
,"3314097","RS Umum Saras Ibnu Sina Sukowati","RSU","D","Perusahaan","67"
,"3374371","Siloam Hospitals Semarang","RSU","D","Swasta","20"
,"3306112","RS Umum Ananda Purworejo","RSU","D","Swasta","22"
,"3317027","RS Bhina Bhakti Husada","RSU","C","Perusahaan","97"
,"3301112","RSU Raffa Majenang","RSU","D","Swasta","50"
,"3314096","RS Umum Rizky Amalia","RSU","D","Perusahaan","40"
,"3375075","RS Umum Hermina Pekalongan","RSU","D","Perusahaan","28"
,"3306111","RS Amanah Umat Purworejo","RSU","D","Perusahaan","94"
,"3372238","RS PKU Muhammadiyah Sampangan Surakarta","RSU","D","Organisasi Islam","18"
,"3302232","RS Hermina Purwokerto","RSU","C","Perusahaan","59"
,"3311230","RS PKU Muhammadiyah Kartasura","RSU","D","Organisasi Islam","53"
,"3309132","RS Umum Natalia","RSU","D","Swasta","40"
,"3310425","RS PKU Muhammadiyah Pedan","RSU","D","Organisasi Islam","0"
,"3311229","RS Umum Indriati","RSU","C","Swasta","140"
,"3325039","RS Umum Daerah Limpung","RSU","D","Pemkab","44"
,"3309135","RS Indriati Boyolali","RSU","D","Swasta","44"
,"3305120","RS Umum Daerah Prembun","RSU","C","Pemkab","96"
,"3303101","RS Umum Siaga Medika Purbalingga","RSU","C","Swasta","77"
,"3326051","RS Ibu dan Anak Aisyiyah Pekajangan Pekalongan","RSIA","C","Organisasi Islam","33"
,"3318113","RS Umum As-Suyuthiyyah","RSU","D","Swasta","46"
,"3327047","RS Umum Muhammadiyah Mardhatillah","RSU","D","Organisasi Islam","74"
,"3311228","RS Umum Universitas Sebelas Maret","RSU","C","Kementerian Lain","100"
